OBJECTID,Census_Tract,EHD_Rank,SHAPE_Length,SHAPE_Area
60,53053061601,10,6923.12578189966,1652068.23920723
61,53053061800,10,7469.54712195046,2997811.27301161
62,53053072603,4,85760.7046908136,428547618.844994
63,53053072602,1,65244.9142408329,178975342.061537
64,53053072601,2,43258.8168389875,102684412.343127
65,53053061500,10,8042.86973723233,2542332.90724443
66,53053072503,3,29083.3126878968,49329462.7669294
67,53053061300,10,7926.90931601343,3415667.08661229
68,53053061700,10,10789.3206278716,5735477.14210215
69,53053070307,4,58424.114529663,62424333.7531828
70,53053061602,10,8240.25259462637,2292559.2346096
71,53053070308,5,13175.0605589135,7117790.62401615
72,53053072305,6,14266.077299125,8814863.0184029
